MARCA,CAMPUS
UNP,UNIDADE ACADÊMICA UNP
UNP,UNIDADE ACADÊMICA ZONA NORTE
UNP,UNIDADE MOSSORÓ
UNP,UNIDADE NASCIMENTO DE CASTRO
UNP,UNIDADE ZONA NORTE - JOÃO MEDEIROS
UNP,UNP LIVE
USJT,BUTANTÃ
USJT,CUBATÃO
USJT,GUARULHOS
USJT,JABAQUARA
USJT,MOOCA
USJT,PAULISTA
USJT,SANTANA
USJT,SANTO AMARO
USJT,SÃO BERNARDO DO CAMPO
USJT,SÃO JUDAS LIVE
USJT,UNIDADE ACADÊMICA BUTANTÃ
USJT,UNIDADE ACADÊMICA GUARULHOS
USJT,UNIDADE ACADÊMICA JABAQUARA
USJT,UNIDADE ACADÊMICA MOOCA
USJT,UNIDADE ACADÊMICA PAULISTA
USJT,UNIDADE ACADÊMICA SANTANA
USJT,UNIDADE ACADÊMICA SANTO AMARO
USJT,UNIDADE ACADÊMICA SANTOS
USJT,UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO
USJT,UNIDADE ACADÊMICA USJT
USJT,UNIDADE ACADÊMICA VILA LEOPOLDINA
USJT,VILA LEOPOLDINA
USJT,VILA MATHIAS
